w_pop,w_builtup,w_flood,w_hh_size,overlap_top13,exact_top13,overlap_top5,top1_same,max_shift_top13
0.417,0.25,0.167,0.167,10,False,4,True,12
0.385,0.231,0.154,0.231,10,False,4,True,10
0.357,0.214,0.143,0.286,11,False,5,True,12
0.333,0.2,0.133,0.333,10,False,4,True,12
0.312,0.187,0.125,0.375,10,False,4,True,12
0.385,0.231,0.231,0.154,11,False,5,True,4
0.357,0.214,0.214,0.214,12,False,5,True,4
0.333,0.2,0.2,0.267,13,True,5,True,3
0.312,0.187,0.188,0.312,12,False,5,True,5
0.294,0.176,0.176,0.353,11,False,5,True,11
0.357,0.214,0.286,0.143,12,False,4,True,13
0.333,0.2,0.267,0.2,12,False,4,True,6
0.312,0.187,0.25,0.25,12,False,5,True,6
0.294,0.176,0.235,0.294,12,False,5,True,6
0.278,0.167,0.222,0.333,12,False,5,True,4
0.333,0.2,0.333,0.133,12,False,4,True,28
0.312,0.188,0.312,0.188,12,False,4,True,27
0.294,0.176,0.294,0.235,12,False,4,True,30
0.278,0.167,0.278,0.278,12,False,5,True,15
0.263,0.158,0.263,0.316,12,False,5,True,15
0.312,0.188,0.375,0.125,11,False,4,True,37
0.294,0.176,0.353,0.176,11,False,4,True,37
0.278,0.167,0.333,0.222,12,False,4,False,33
0.263,0.158,0.316,0.263,12,False,4,True,30
0.25,0.15,0.3,0.3,12,False,4,True,32
0.385,0.308,0.154,0.154,9,False,3,True,14
0.357,0.286,0.143,0.214,9,False,4,True,11
0.333,0.267,0.133,0.267,9,False,4,True,10
0.312,0.25,0.125,0.312,9,False,4,True,14
0.294,0.235,0.118,0.353,10,False,4,True,16
0.357,0.286,0.214,0.143,11,False,5,True,10
0.333,0.267,0.2,0.2,12,False,5,True,4
0.312,0.25,0.188,0.25,13,True,5,True,3
0.294,0.235,0.176,0.294,12,False,5,True,10
0.278,0.222,0.167,0.333,11,False,4,True,11
0.333,0.267,0.267,0.133,12,False,4,True,12
0.312,0.25,0.25,0.188,12,False,5,True,5
0.294,0.235,0.235,0.235,12,False,5,True,6
0.278,0.222,0.222,0.278,12,False,5,True,5
0.263,0.211,0.211,0.316,12,False,5,True,5
0.312,0.25,0.312,0.125,12,False,4,True,30
0.294,0.235,0.294,0.176,12,False,4,True,32
0.278,0.222,0.278,0.222,12,False,4,True,33
0.263,0.211,0.263,0.263,12,False,4,True,14
0.25,0.2,0.25,0.3,12,False,5,True,11
0.294,0.235,0.353,0.118,12,False,4,True,39
0.278,0.222,0.333,0.167,12,False,4,True,36
0.263,0.211,0.316,0.211,12,False,4,True,33
0.25,0.2,0.3,0.25,12,False,4,True,31
0.238,0.19,0.286,0.286,12,False,4,True,32
0.357,0.357,0.143,0.143,9,False,4,True,28
0.333,0.333,0.133,0.2,9,False,3,True,14
0.312,0.312,0.125,0.25,9,False,4,True,11
0.294,0.294,0.118,0.294,9,False,4,True,15
0.278,0.278,0.111,0.333,9,False,4,True,16
0.333,0.333,0.2,0.133,11,False,5,True,22
0.312,0.312,0.188,0.188,11,False,5,True,11
0.294,0.294,0.176,0.235,11,False,5,True,8
0.278,0.278,0.167,0.278,10,False,5,True,12
0.263,0.263,0.158,0.316,11,False,5,True,11
0.312,0.312,0.25,0.125,11,False,5,True,13
0.294,0.294,0.235,0.176,12,False,5,True,5
0.278,0.278,0.222,0.222,12,False,5,True,6
0.263,0.263,0.211,0.263,13,True,5,True,4
0.25,0.25,0.2,0.3,11,False,5,True,6
0.294,0.294,0.294,0.118,11,False,4,True,26
0.278,0.278,0.278,0.167,12,False,4,True,26
0.263,0.263,0.263,0.211,12,False,5,True,20
0.25,0.25,0.25,0.25,12,False,5,True,13
0.238,0.238,0.238,0.286,11,False,5,True,9
0.278,0.278,0.333,0.111,11,False,4,True,38
0.263,0.263,0.316,0.158,12,False,4,True,32
0.25,0.25,0.3,0.2,12,False,4,True,32
0.238,0.238,0.286,0.238,12,False,4,True,34
0.227,0.227,0.273,0.273,12,False,4,True,35
0.333,0.4,0.133,0.133,10,False,4,True,36
0.312,0.375,0.125,0.188,9,False,3,True,24
0.294,0.353,0.118,0.235,9,False,4,True,15
0.278,0.333,0.111,0.278,9,False,4,True,16
0.263,0.316,0.105,0.316,9,False,4,True,16
0.312,0.375,0.188,0.125,10,False,5,True,30
0.294,0.353,0.176,0.176,10,False,5,True,14
0.278,0.333,0.167,0.222,10,False,5,True,11
0.263,0.316,0.158,0.263,10,False,5,True,11
0.25,0.3,0.15,0.3,10,False,5,True,13
0.294,0.353,0.235,0.118,10,False,5,True,22
0.278,0.333,0.222,0.167,11,False,5,True,13
0.263,0.316,0.211,0.211,12,False,5,True,5
0.25,0.3,0.2,0.25,12,False,5,True,7
0.238,0.286,0.19,0.286,11,False,5,True,9
0.278,0.333,0.278,0.111,10,False,4,True,27
0.263,0.316,0.263,0.158,12,False,5,True,23
0.25,0.3,0.25,0.2,12,False,5,True,25
0.238,0.286,0.238,0.238,12,False,5,True,15
0.227,0.273,0.227,0.273,12,False,5,True,11
0.263,0.316,0.316,0.105,11,False,4,True,37
0.25,0.3,0.3,0.15,11,False,4,True,35
0.238,0.286,0.286,0.19,12,False,4,True,35
0.227,0.273,0.273,0.227,12,False,4,True,35
0.217,0.261,0.261,0.261,12,False,4,True,33
0.312,0.438,0.125,0.125,9,False,3,True,38
0.294,0.412,0.118,0.176,9,False,3,True,34
0.278,0.389,0.111,0.222,9,False,4,True,23
0.263,0.368,0.105,0.263,9,False,3,True,17
0.25,0.35,0.1,0.3,9,False,4,True,17
0.294,0.412,0.176,0.118,9,False,5,True,30
0.278,0.389,0.167,0.167,9,False,5,True,28
0.263,0.368,0.158,0.211,9,False,5,True,14
0.25,0.35,0.15,0.25,9,False,5,True,16
0.238,0.333,0.143,0.286,9,False,4,True,15
0.278,0.389,0.222,0.111,10,False,5,True,27
0.263,0.368,0.211,0.158,11,False,5,True,18
0.25,0.35,0.2,0.2,11,False,5,True,12
0.238,0.333,0.19,0.238,11,False,5,True,8
0.227,0.318,0.182,0.273,11,False,5,True,12
0.263,0.368,0.263,0.105,10,False,4,True,21
0.25,0.35,0.25,0.15,11,False,4,True,28
0.238,0.333,0.238,0.19,12,False,4,True,18
0.227,0.318,0.227,0.227,12,False,4,True,14
0.217,0.304,0.217,0.261,12,False,4,True,8
0.25,0.35,0.3,0.1,10,False,4,True,38
0.238,0.333,0.286,0.143,11,False,4,True,35
0.227,0.318,0.273,0.182,12,False,4,True,35
0.217,0.304,0.261,0.217,12,False,4,True,33
0.208,0.292,0.25,0.25,12,False,4,True,32
0.462,0.231,0.154,0.154,10,False,4,True,17
0.429,0.214,0.143,0.214,10,False,4,True,14
0.4,0.2,0.133,0.267,10,False,3,True,14
0.375,0.188,0.125,0.312,10,False,4,True,12
0.353,0.176,0.118,0.353,10,False,5,True,12
0.429,0.214,0.214,0.143,10,False,5,True,11
0.4,0.2,0.2,0.2,11,False,5,True,9
0.375,0.187,0.188,0.25,12,False,5,True,8
0.353,0.176,0.176,0.294,12,False,5,True,9
0.333,0.167,0.167,0.333,11,False,5,True,9
0.4,0.2,0.267,0.133,11,False,4,True,7
0.375,0.188,0.25,0.188,12,False,4,True,5
0.353,0.176,0.235,0.235,13,True,5,True,3
0.333,0.167,0.222,0.278,13,True,5,True,3
0.316,0.158,0.211,0.316,12,False,5,False,3
0.375,0.188,0.312,0.125,11,False,4,True,24
0.353,0.176,0.294,0.176,12,False,4,True,13
0.333,0.167,0.278,0.222,12,False,5,True,11
0.316,0.158,0.263,0.263,12,False,5,True,6
0.3,0.15,0.25,0.3,12,False,5,True,9
0.353,0.176,0.353,0.118,11,False,4,True,30
0.333,0.167,0.333,0.167,11,False,4,True,30
0.316,0.158,0.316,0.211,12,False,4,True,26
0.3,0.15,0.3,0.25,12,False,4,True,30
0.286,0.143,0.286,0.286,12,False,4,True,15
0.429,0.286,0.143,0.143,10,False,4,True,15
0.4,0.267,0.133,0.2,9,False,3,True,12
0.375,0.25,0.125,0.25,9,False,3,True,12
0.353,0.235,0.118,0.294,10,False,4,True,12
0.333,0.222,0.111,0.333,10,False,4,True,14
0.4,0.267,0.2,0.133,10,False,4,True,14
0.375,0.25,0.188,0.188,10,False,5,True,9
0.353,0.235,0.176,0.235,11,False,5,True,9
0.333,0.222,0.167,0.278,11,False,5,True,8
0.316,0.211,0.158,0.316,10,False,5,True,11
0.375,0.25,0.25,0.125,11,False,4,True,6
0.353,0.235,0.235,0.176,13,True,5,True,2
0.333,0.222,0.222,0.222,13,True,5,True,2
0.316,0.211,0.211,0.263,13,True,5,True,2
0.3,0.2,0.2,0.3,12,False,5,True,4
0.353,0.235,0.294,0.118,12,False,4,True,21
0.333,0.222,0.278,0.167,12,False,4,True,11
0.316,0.211,0.263,0.211,12,False,4,True,5
0.3,0.2,0.25,0.25,12,False,5,True,7
0.286,0.19,0.238,0.286,12,False,5,True,6
0.333,0.222,0.333,0.111,12,False,4,True,29
0.316,0.211,0.316,0.158,12,False,4,True,29
0.3,0.2,0.3,0.2,12,False,4,True,29
0.286,0.19,0.286,0.238,12,False,5,True,31
0.273,0.182,0.273,0.273,12,False,5,True,15
0.4,0.333,0.133,0.133,9,False,3,True,30
0.375,0.312,0.125,0.188,9,False,3,True,13
0.353,0.294,0.118,0.235,9,False,3,True,11
0.333,0.278,0.111,0.278,8,False,4,True,11
0.316,0.263,0.105,0.316,9,False,4,True,16
0.375,0.312,0.188,0.125,10,False,5,True,21
0.353,0.294,0.176,0.176,10,False,5,True,11
0.333,0.278,0.167,0.222,10,False,5,True,8
0.316,0.263,0.158,0.263,10,False,5,True,9
0.3,0.25,0.15,0.3,10,False,4,True,10
0.353,0.294,0.235,0.118,11,False,4,True,14
0.333,0.278,0.222,0.167,12,False,5,True,3
0.316,0.263,0.211,0.211,13,True,5,True,2
0.3,0.25,0.2,0.25,13,True,5,True,3
0.286,0.238,0.19,0.286,13,True,5,True,5
0.333,0.278,0.278,0.111,11,False,4,True,21
0.316,0.263,0.263,0.158,12,False,4,True,13
0.3,0.25,0.25,0.2,12,False,5,True,6
0.286,0.238,0.238,0.238,12,False,5,True,7
0.273,0.227,0.227,0.273,12,False,5,True,6
0.316,0.263,0.316,0.105,11,False,4,True,30
0.3,0.25,0.3,0.15,12,False,4,True,28
0.286,0.238,0.286,0.19,12,False,4,True,32
0.273,0.227,0.273,0.227,12,False,4,True,31
0.261,0.217,0.261,0.261,12,False,4,True,12
0.375,0.375,0.125,0.125,9,False,3,True,36
0.353,0.353,0.118,0.176,8,False,3,True,25
0.333,0.333,0.111,0.222,9,False,3,True,12
0.316,0.316,0.105,0.263,9,False,4,True,12
0.3,0.3,0.1,0.3,9,False,3,True,16
0.353,0.353,0.176,0.118,10,False,5,True,33
0.333,0.333,0.167,0.167,10,False,5,True,17
0.316,0.316,0.158,0.211,10,False,5,True,13
0.3,0.3,0.15,0.25,11,False,4,True,8
0.286,0.286,0.143,0.286,10,False,4,True,11
0.333,0.333,0.222,0.111,11,False,5,True,26
0.316,0.316,0.211,0.158,12,False,5,True,14
0.3,0.3,0.2,0.2,12,False,5,True,7
0.286,0.286,0.19,0.238,12,False,5,True,4
0.273,0.273,0.182,0.273,11,False,5,True,10
0.316,0.316,0.263,0.105,11,False,4,True,14
0.3,0.3,0.25,0.15,11,False,5,True,11
0.286,0.286,0.238,0.19,12,False,5,True,6
0.273,0.273,0.227,0.227,12,False,5,True,7
0.261,0.261,0.217,0.261,12,False,5,True,5
0.3,0.3,0.3,0.1,11,False,4,True,24
